9,event in the evolution of mammals, and the
9,of the last touches to the shaping of the modern fauna, occurred a mere 10–20 thousand years
4,when most of the species of larger mammals
1,from the fossil record. Whether this
8,due to environmental change or over-hunting
8,humans is still vigorously debated.
8,questions
4,quality of the fossil record documenting this
4,of events is remarkably good. Vertebrate
8,generally have a high capacity for being
8,and because they are so anatomically
8,many characters are potentially available
4,taxonomic analysis. A further consequence of its
8,multifunctional nature is that a more or
8,complete, well-preserved vertebrate skeleton
0,a great deal of biological information about
4,life of its one-time possessor. Unfortunately, set
1,this high information content is the fact that
8,specimens do tend to be rare, because vertebrates are relatively large animals that therefore
8,in relatively small populations compared to
9,other kinds of organisms. In the case of terrestrial vertebrates the rarity is exaggerated because
1,only usual way that a fossil forms is if the dead
4,suffers the unlikely fate of ending up
0,in sediments forming on the bed of a lake,
8,or sea. There are wonderful exceptions to this
0,of improbability, and a handful of freakish conditions were responsible for some Lagerstätten in
4,the preservation of mammals and other taxa
1,superb, and which open unique windows onto
4,faunas of the time. The Early Cretaceous Yixian
4,of Liaoning Province of China is one
7,(Luo 1999; Zhou et al. 2003), with complete
0,of a variety of little mammals, some even
4,impressions of the pelt. The Grube Messel
8,locality, an old opencast oil-shale mine near
8,that is early Eocene in age contains a
4,of forest-dwelling mammals of the time that
2,includes gut contents and muscle and skin
1,(Schaal and Zeigler 1992). At the other
9,of the temporal scale, the famous Rancha La
4,asphalt pits, within the city boundary of Los
8,were trapping mammals in seeping oil
1,the Late Pleistocene 40,000 years ago to about
2,years ago (Marcus and Berger 1984). Even
4,fossiliferous localities of these do not break the
8,rule that fossil tetrapod vertebrates are
8,highly informative, but collectively
8,uncommon.
8,palaeobiological questions that can be
9,with reference to the origin and evolution of mammals are circumscribed by these qualities of the synapsid fossil record. Microevolutionary
6,such as intraspecific changes in response to
4,pressures, or the process of speciation cannot usually be approached using these particular
0,although there are a number of cases where
8,mammal species have been used to demonstrate microevolutionary trends, particularly,
1,not exclusively from the Pleistocene, as any
8,textbook will attest. However,
0,are several general macroevolutionary questions concerning events whose time course is a matter of millions to tens and hundreds of millions of
1,where the synapsid fossil record has been and
8,to be extremely important.
4,the first phase of synapsid radiation,
0,big question is that of how a major new kind of
9,evolves, and the case of the origin of
9,is far and away the example with the
8,revealing fossil record. Very many characters
9,in the course of the transition from ancestral amniote to mammal, and yet biological integration between all the structures and processes of
1,and every intermediate organism must have
4,maintained. From the pattern and sequence of
4,of mammalian characters inferred from
4,cladistic analysis of mammal-like reptiles, much
9,is thrown on the process of the origin of a new
8,taxon. From palaeoecological analysis,
9,of the environmental backdrop to the
8,is revealed.
8,most compelling macroevolutionary question
4,the second phase of synapsid evolution,
8,THE ORIGIN AND EVOLUTION OF MAMMALS
7,Mesozoic mammals, is to do with evolutionary
4,and potentials. Why did none of them
8,large or even medium body size for 140 Ma,
4,then suddenly several of them did so independently of one another? Was it due to competitive
1,by the contemporary dinosaurs, which
0,indicate that this is an extraordinarily powerful evolutionary force, or was it a consequence of
8,physiological or environmental constraint acting on these early mammals, in which case what
4,of environmental trigger was necessary to
8,it?
9,the third phase of the story, the great
4,mammal fossil record lends itself extraordinarily well to an analysis of the nature of adaptive
1,Much is revealed about the way in which
9,simply expressed phylogeny is actually the outcome of a complex interplay between the evolving
1,and the dramatically changing climates
1,palaeogeography that characterise the terrestrial sphere. It allows such questions to be posed as,
4,is convergent evolution of many ecotypes such
8,small omnivores, ungulates, carnivores, or
8,so common? Why do some groups successfully invade new areas while others completely
6,to do so? Why do older taxa tend to go extinct in
4,face of younger ones? Why have some very old
1,nevertheless survived? A powerful new technique has arrived in the last decade that is recasting
4,questions about the Tertiary radiation of
7,Viewed not long ago with suspicion
1,on scepticism by the palaeontological community, molecular taxonomy has emerged as a
8,player. Inferring phylogenetic relationships
4,times of divergence from gene sequences tens
1,kilobases long, and applying highly sophisticated
1,methods, a complete and well-supported
4,of living mammals is close to realisation.
1,there were profound conflicts between fossils and molecules, but the two are coming to be
1,to be telling the same stories more and more.
4,of these are most surprising. Whales are
0,a specialised branch of even-toed ungulates,
6,there are now fossils as well as molecules to
8,it. A morphologically highly disparate group
8,orders based in Africa are beyond question a
6,superorder, Afrotheria, as far as
8,evidence is concerned; now it actually
6,biogeographic sense as well. These are exciting times to be a palaeomammalogist!
8,5
8,
8,2
1,and classification
0,age and the classification of a particular fossil
1,the two fundamental properties necessary to
9,understanding how it fits into the evolutionary patterns revealed by the fossil record. There are
4,misunderstandings of one or other of these by
8,Evolutionary biologists on occasion
0,far too optimistic a view of how accurately
1,can actually be dated, both absolutely and
8,to one another. Geologists have been known
0,have a rather limited view of how modern systematic methods are used to infer relationships from
4,amounts of information, be it morphological
0,molecular. In this chapter, a brief outline of the
9,underlying the construction of the geological timescale, and of a classification are given,
1,with reference timescales and classifications
1,use throughout the following chapters.
8,geological timescale
0,creation of a timescale for dating the events
9,in the rocks since the origin of the Earth is
4,of the greatest achievements of science, unspectacular and taken for granted as it may often be. It is
6,unfinished business insofar as there are varying
4,of uncertainty and inaccuracy about the
4,of many rock exposures, none more so than
1,the mostly continental, rather than marine
1,containing the fossils with which this
8,is concerned. A geological timescale is actually
4,compilation of the results of two kinds of study.
9,is recognising the temporal sequence of the
1,and agreeing arbitrarily defined boundaries
9,the named rock units, the result of which is
4,chronostratic timescale. The other is calibration of
1,sequence and its divisions in absolute time units
8,years before present, a chronometric timescale.
8,timescale
1,is simple in principle to list the relative temporal
4,of events, such as the occurrence of fossils, in
1,single rock unit, although even here the possibility
6,missing segments, known as hiatuses, in local
4,of the unit, or of complex folding movements
9,the strata disturbing the order must not be forgotten. The biggest problem is correlating relative dates
4,different units in different parts of the
9,The potential markers available for correlation are the numerous kinds of signals in the rocks of
8,events that had a widespread, ideally
0,effect over a geologically brief period of time.
4,the occurrence of particular fossil
4,was the most important, followed by evidence of climatic change such as tillites indicating
1,and evaporates associated with aridity.
4,in sea levels are indicated by shifting coastline sediments, and periods of intense volcanic
8,by igneous rock extrusions. More modern
4,reveal characteristic sequences of reversals of the magnetic field. Ratios of stable isotopes
8,become particularly important geochemical
4,of several kinds of physical and biotic events.
0,the ideal marker is a clear geochemical signal of a
8,but globally manifested event that affected all
9,then the best are the effects of a massive bolide impact, such as the enhanced iridium
1,marking the Cretaceous–Cenozoic boundary.
8,such ideal examples are extremely
8,
1,global correlation has been completed, the
1,between the named chronostratigraphic
0,have to be arbitrarily defined by selecting a single point in a particular exposure, known as a GSSP
1,Stratotype Section and Point) or a ‘Golden
8,To gain maximum international agreement,
8,AND CLASSIFICATION 7
9,hierarchy of committees under the aegis of the
5,(International Union of Geological Sciences)
8,these decisions. The units themselves are
1,hierarchically, and within the Phanerozoic
8,this is first into three Eras, Palaeozoic, Mesozoic,
8,Cenozoic. These are then divided successively
1,Periods, Epochs, and Stages as shown on the
8,(Fig. 2.1). The final division is usually into
0,which are defined by the presence of one, or a
8,characteristic fossil species. Zones are therefore
1,local rather than global, and typically less
8,1 Ma in duration.
8,is most problematic when comparing
8,different environments, for there may be virtually no geological markers shared between them.
4,most sedimentary rocks are marine in origin, most of the global chronostratic timescale is
2,on these. There is particular difficulty in correlating marine and continental rocks, and therefore
0,relatively dating the latter. In a number of cases,
8,position in practice is that a local chronostratic
7,exists that has not yet been accurately correlated with the global scale. The new techniques,
1,stable isotope ratios are, however, rapidly improving the situation, a notable relevant
1,being the mammal-bearing Cenozoic rocks
0,North America. Traditionally a succession of
8,American Land Mammal Ages (NALMA)
1,recognised, whose relationship to the global
1,timescale was poorly understood, but the
4,between the two is now virtually complete (Prothero 1997). The equivalent LMA’s of
4,parts of the world are not yet completely correlated with those of North America, but undoubtedly this work will be completed quite soon.
8,continental deposits relevant here are less
7,correlated with the global timescale, especially
4,Permo-Carboniferous of North America, the
2,Permian of South Africa and Russia, and the
2,of South Africa, South America, and Asia.
8,are shown in Fig. 2.2.
8,timescale
4,only way of absolutely dating points in the
8,timescale is radiometry, based
8,isotope decay rates. The principle is that there is
0,constant rate of spontaneous decay of a specified
8,isotope into its daughter product. By
9,the ratio of the isotopes at the start and at
9,end of a time period, and the rate of decay, the
9,elapsed time of the period can be calculated. However, since the ratio of isotopes at the
9,of the period cannot be measured, the technique depends on the assumption that at the time
4,formation of the sample being dated, it contained
9,of the mother isotope and none of the daughter product, which can only be true for a sample
4,was formed by crystallising out of molten rock.
8,only igneous rocks can be radiometrically
4,from their time of formation. Sedimentary
1,including virtually all the fossil-bearing
0,are a random mixture of particles of rocks of
8,ages, derived by weathering processes
8,on somewhere quite other than where they
8,settled. Fossils cannot be directly dated! The
1,exception to this assertion is radiocarbon dating which is somewhat different. It depends on the
9,that while alive and metabolising, an organism’s tissues have the same ratio of the radioactive
9,to the stable 12C as in the atmosphere, about 1%.
1,death, the 14C decays to 12C and so, assuming
9,ratio in the atmosphere was the same at the time
9,death as it is today, the ratio in the organic sample
9,only on the rate of decay. However, the halflife of this particular process is a mere 5,730 years,
8,is too short to date accurately organic samples
8,more than 50,000 years old. It is primarily an
1,and not a palaeontological tool.
8,most widely used isotope pair for construction
1,the global chronometric timescale is potassium–
1,in which the isotope 40K decays to 40Ar, with a
4,of about 1,500 million years. Uranium–lead
8,
1,half-life about 700 Ma), and Rubidium–
8,(87Rb/87Sr: half-life 50,000 Ma) are also
4,used. The accuracy of radiometric dating
8,be compromised by several factors. Secondary
9,or addition of isotopes may have occurred during the lifetime of the rock sample, particularly if it
8,been exposed to high temperatures. The half-life
7,difficult to measure with complete precision for
8,a slow process. Laboratory techniques for measuring what are often extremely small percentages
8,experimental errors. The outcome is that
8,dates are generally only accurate to
8,2%. While for many purposes this is adequate
